id,post_id,donor_id,donor_name,recipient_id,recipient_name,contribution,services_rendered,year,candidate_id,candidate_name
195415,266912,3184,DonorsTrust,856,"Institute for Justice",10000,,2014,,
195416,266913,3184,DonorsTrust,29159,"Institute for Humane Studies",10000,,2014,,
195417,266914,3184,DonorsTrust,857,"Intercollegiate Studies Institute",5000,,2014,,
195418,266915,3184,DonorsTrust,873,"Mountain States Legal Foundation",500,,2014,,
195419,266916,3184,DonorsTrust,22303,"Center for Individual Rights",10000,,2014,,
195420,266917,3184,DonorsTrust,25180,"American Friends of IEA",10000,,2014,,
195421,266918,3184,DonorsTrust,5305,"Drug Policy Alliance",50000,,2014,,
195422,266919,3184,DonorsTrust,29029,"Freedom Works Foundation",400000,,2014,,
195423,266920,3184,DonorsTrust,29013,"Marijuana Policy project Foundation",6000,,2014,,
195424,266921,3184,DonorsTrust,4535,"Judicial Education Project",345000,,2014,,
195425,266922,3184,DonorsTrust,4621,"Project Veritas",134638,,2014,,
195426,266923,3184,DonorsTrust,25378,"Project Liberty",50000,,2014,,
195427,266924,3184,DonorsTrust,25186,"Catholic Association Foundation",78000,,2014,,
195428,266925,3184,DonorsTrust,25374,"Home School Foundation",15000,,2014,,
195429,266926,3184,DonorsTrust,29015,"Consumers' Research",10000,,2014,,
195430,266927,3184,DonorsTrust,12312,"PetConnect Rescue",12000,,2014,,
195431,266928,3184,DonorsTrust,32477,"American Transparency",20000,,2014,,
195432,266929,3184,DonorsTrust,848,"Fund for American Studies",199,,2014,,
195433,266930,3184,DonorsTrust,22303,"Center for Individual Rights",500,,2014,,
195434,266931,3184,DonorsTrust,29286,"Employment Policies Institute Foundation",500,,2014,,
195435,266932,3184,DonorsTrust,5165,"The Science Network",8000,,2014,,
195436,266933,3184,DonorsTrust,25181,"Appropriate Infrastructure Development Group",6000,,2014,,
195437,266934,3184,DonorsTrust,13493,"Colorado Christian University",160000,,2014,,
195438,266935,3184,DonorsTrust,32497,"Foundation for Self-Government",50000,,2014,,
195439,266936,3184,DonorsTrust,32498,"PALS Program",5000,,2014,,
195440,266937,3184,DonorsTrust,32498,"PALS Program",5000,,2014,,
195441,266938,3184,DonorsTrust,29149,"Atlas Economic Research Foundation",7500,,2014,,
195442,266939,3184,DonorsTrust,1504,"Discovery Institute",250000,,2014,,
195443,266940,3184,DonorsTrust,944,"Foundation for Economic Education",1000,,2014,,
195444,266941,3184,DonorsTrust,4530,"Human Rights Foundation",20000,,2014,,
195445,266942,3184,DonorsTrust,4530,"Human Rights Foundation",10000,,2014,,
195446,266943,3184,DonorsTrust,29266,"Center for Union Facts",160000,,2014,,
195447,266944,3184,DonorsTrust,936,"Moving Picture Institute",30000,,2014,,
195448,266945,3184,DonorsTrust,4535,"Judicial Education Project",100000,,2014,,
195449,266946,3184,DonorsTrust,1333,"American Council on Science and Health",5000,,2014,,
195450,266947,3184,DonorsTrust,29129,"American Enterprise Institute for Public Policy Research",50000,,2014,,
195451,266948,3184,DonorsTrust,832,"Capital Research Center",1000,,2014,,
195452,266949,3184,DonorsTrust,887,"Cato Institute",20000,,2014,,
195453,266950,3184,DonorsTrust,15206,"Freedom Foundation",6000,,2014,,
195454,266951,3184,DonorsTrust,848,"Fund for American Studies",10000,,2014,,
195455,266952,3184,DonorsTrust,25373,"Heritage Foundation",18000,,2014,,
195456,266953,3184,DonorsTrust,1463,"Hudson Institute",10000,,2014,,
195457,266954,3184,DonorsTrust,25193,"Independent Institute",2000,,2014,,
195458,266955,3184,DonorsTrust,1392,"Independent Women's Forum",30000,,2014,,
195459,266956,3184,DonorsTrust,867,"Manhattan Institute for Policy Research",10000,,2014,,
195460,266957,3184,DonorsTrust,870,"Mercatus Center",3000,,2014,,
195461,266958,3184,DonorsTrust,29135,"Media Research Center",2000,,2014,,
195462,266959,3184,DonorsTrust,1344,"National Association of Scholars",10000,,2014,,
195463,266960,3184,DonorsTrust,29078,"National Legal &amp; Policy Center",1000,,2014,,
195464,266961,3184,DonorsTrust,29136,"National Right to Work Legal Defense Foundation",2000,,2014,,
195465,266962,3184,DonorsTrust,29127,"State Policy Network",10000,,2014,,
195466,266963,3184,DonorsTrust,22303,"Center for Individual Rights",10000,,2014,,
195467,266964,3184,DonorsTrust,1448,"Foundation for Individual Rights in Education",15000,,2014,,
195468,266965,3184,DonorsTrust,29259,"Middle East Forum",20000,,2014,,
195469,266966,3184,DonorsTrust,4536,"Kansas Policy Institute",7500,,2014,,
195470,266967,3184,DonorsTrust,4535,"Judicial Education Project",35000,,2014,,
195471,266968,3184,DonorsTrust,4621,"Project Veritas",10000,,2014,,
195472,266969,3184,DonorsTrust,3865,"Independence Institute",20000,,2014,,
195473,266970,3184,DonorsTrust,870,"Mercatus Center",10000,,2014,,
195474,266971,3184,DonorsTrust,22303,"Center for Individual Rights",170000,,2014,,
195475,266972,3184,DonorsTrust,4535,"Judicial Education Project",75000,,2014,,
195476,266973,3184,DonorsTrust,32498,"PALS Program",1000,,2014,,
195477,266974,3184,DonorsTrust,1037,"Pacific Research Institute for Public Policy",120000,,2014,,
