id,post_id,donor_id,donor_name,recipient_id,recipient_name,contribution,services_rendered,year,candidate_id,candidate_name
133487,198843,6064,"Earhart Foundation",29162,"Property and Environment Research Center",150000,,2012,,
133488,198844,6064,"Earhart Foundation",29159,"Institute for Humane Studies",125000,,2012,,
133489,198845,6064,"Earhart Foundation",1318,"Mackinac Center for Public Policy",125000,,2012,,
133490,198846,6064,"Earhart Foundation",1318,"Mackinac Center for Public Policy",125000,,2012,,
133491,198847,6064,"Earhart Foundation",27355,"Ann Arbor Area Community Foundation",121724,,2012,,
133492,198848,6064,"Earhart Foundation",1578,"Ethics and Public Policy Center",100000,,2012,,
133493,198849,6064,"Earhart Foundation",6077,"Citizens Research Council of Michigan",75000,,2012,,
133494,198850,6064,"Earhart Foundation",857,"Intercollegiate Studies Institute",75000,,2012,,
133495,198851,6064,"Earhart Foundation",24966,"Institute of World Politics",69705,,2012,,
133496,198852,6064,"Earhart Foundation",4743,"Princeton University",65000,,2012,,
133497,198853,6064,"Earhart Foundation",4743,"Princeton University",65000,,2012,,
133498,198854,6064,"Earhart Foundation",1425,"The Russell Kirk Center for Cultural Renewal",65000,,2012,,
133499,198855,6064,"Earhart Foundation",1100,"Social Philosophy &amp; Policy Center",62500,,2012,,
133500,198856,6064,"Earhart Foundation",27356,"Robert P. George",62000,,2012,,
133501,198857,6064,"Earhart Foundation",24966,"Institute of World Politics",60393,,2012,,
133502,198858,6064,"Earhart Foundation",848,"Fund for American Studies",60000,,2012,,
133503,198859,6064,"Earhart Foundation",6502,"Universidad Francisco Marroquin",60000,,2012,,
133504,198860,6064,"Earhart Foundation",29129,"American Enterprise Institute for Public Policy Research",50000,,2012,,
133505,198861,6064,"Earhart Foundation",3700,"Critical Review Foundation",50000,,2012,,
133506,198862,6064,"Earhart Foundation",29243,DonorsTrust,50000,,2012,,
133507,198863,6064,"Earhart Foundation",24966,"Institute of World Politics",50000,,2012,,
133508,198864,6064,"Earhart Foundation",3324,"University of Michigan",47000,,2012,,
133509,198865,6064,"Earhart Foundation",29149,"Atlas Economic Research Foundation",45764,,2012,,
133510,198866,6064,"Earhart Foundation",1464,"Louisiana State University",42852,,2012,,
133511,198867,6064,"Earhart Foundation",1123,"Michigan State University",40719,,2012,,
133512,198868,6064,"Earhart Foundation",29150,"Acton Institute for the Study of Religion and Liberty",40000,,2012,,
133513,198869,6064,"Earhart Foundation",806,"George Mason University School of Law",40000,,2012,,
133514,198870,6064,"Earhart Foundation",1168,"Mont Pelerin Society",40000,,2012,,
133515,198871,6064,"Earhart Foundation",4634,"The Witherspoon Institute",40000,,2012,,
133516,198872,6064,"Earhart Foundation",6132,"University of Bayreuth",40000,,2012,,
133517,198873,6064,"Earhart Foundation",27357,"J. Budziszewski",39270,,2012,,
133518,198874,6064,"Earhart Foundation",3243,"Duke University",38750,,2012,,
133519,198875,6064,"Earhart Foundation",3628,"Tufts University",38750,,2012,,
133520,198876,6064,"Earhart Foundation",3243,"Duke University",37750,,2012,,
133521,198877,6064,"Earhart Foundation",937,"American Council of Trustees and Alumni",36000,,2012,,
133522,198878,6064,"Earhart Foundation",1448,"Foundation for Individual Rights in Education",35000,,2012,,
133523,198879,6064,"Earhart Foundation",6690,"Naval Postgraduate School",35000,,2012,,
133524,198880,6064,"Earhart Foundation",809,"The Philadelphia Society",32000,,2012,,
133525,198881,6064,"Earhart Foundation",27358,"Amos N. Guiora",30000,,2012,,
133526,198882,6064,"Earhart Foundation",887,"Cato Institute",30000,,2012,,
133527,198883,6064,"Earhart Foundation",842,"Federalist Society for Law and Public Policy Studies",30000,,2012,,
133528,198884,6064,"Earhart Foundation",29152,"Foundation for Defense of Democracies",30000,,2012,,
133529,198885,6064,"Earhart Foundation",1593,"George C. Marshall Institute",30000,,2012,,
133530,198886,6064,"Earhart Foundation",6322,"Meir G. Kohn",30000,,2012,,
133531,198887,6064,"Earhart Foundation",870,"Mercatus Center",30000,,2012,,
133532,198888,6064,"Earhart Foundation",885,"Tax Foundation",30000,,2012,,
133533,198889,6064,"Earhart Foundation",1228,"University of Dallas",30000,,2012,,
133534,198890,6064,"Earhart Foundation",6133,"University of Reading",30000,,2012,,
133535,198891,6064,"Earhart Foundation",1123,"Michigan State University",29869,,2012,,
133536,198892,6064,"Earhart Foundation",27359,"Ryan Patrick Hanley",28592,,2012,,
133537,198893,6064,"Earhart Foundation",1228,"University of Dallas",27710,,2012,,
133538,198894,6064,"Earhart Foundation",3235,"Clemson University",26865,,2012,,
133539,198895,6064,"Earhart Foundation",6073,"Boston University",25600,,2012,,
133540,198896,6064,"Earhart Foundation",4642,"American Foreign Policy Council",25000,,2012,,
133541,198897,6064,"Earhart Foundation",29149,"Atlas Economic Research Foundation",25000,,2012,,
133542,198898,6064,"Earhart Foundation",23106,"Centre for Civil Society",25000,,2012,,
133543,198899,6064,"Earhart Foundation",839,"Competitive Enterprise Institute",25000,,2012,,
133544,198900,6064,"Earhart Foundation",843,"Foundation for Teaching Economics",25000,,2012,,
133545,198901,6064,"Earhart Foundation",867,"Manhattan Institute for Policy Research",25000,,2012,,
133546,198902,6064,"Earhart Foundation",6323,"Michael Davis",25000,,2012,,
133547,198903,6064,"Earhart Foundation",1037,"Pacific Research Institute for Public Policy",25000,,2012,,
133548,198904,6064,"Earhart Foundation",29162,"Property and Environment Research Center",25000,,2012,,
133549,198905,6064,"Earhart Foundation",22790,"The Center for Vision &amp; Values at Grove City College",25000,,2012,,
133550,198906,6064,"Earhart Foundation",6292,"Bradley J. Birzer",24200,,2012,,
133551,198907,6064,"Earhart Foundation",6250,"Sandra F. Joireman",24004,,2012,,
133552,198908,6064,"Earhart Foundation",27360,"Ryan Streeter",24000,,2012,,
