id,post_id,donor_id,donor_name,recipient_id,recipient_name,contribution,services_rendered,year,candidate_id,candidate_name
104358,159531,22281,"F.M. Kirby Foundation",22282,"Action on Smoking and Health",100000,,2012,,
104359,159532,22281,"F.M. Kirby Foundation",7717,"Adirondack Museum",47500,,2012,,
104360,159533,22281,"F.M. Kirby Foundation",22283,"Adirondack Nature Conservancy &amp; Land Trust",55000,,2012,,
104361,159534,22281,"F.M. Kirby Foundation",22284,"AIDS Resource Foundation for Children",10000,,2012,,
104362,159535,22281,"F.M. Kirby Foundation",22573,"Aircraft Owners and Pilots Association",7500,,2012,,
104363,159536,22281,"F.M. Kirby Foundation",7662,"Albert Einstein College of Medicine",400000,,2012,,
104364,159537,22281,"F.M. Kirby Foundation",16959,"ALFRE Inc.",25000,,2012,,
104365,159538,22281,"F.M. Kirby Foundation",3742,"Alzheimer's Association",422500,,2012,,
104366,159539,22281,"F.M. Kirby Foundation",7263,"American Ballet Theatre",27500,,2012,,
104367,159540,22281,"F.M. Kirby Foundation",11152,"American Cancer Society Eastern Division",350000,,2012,,
104368,159541,22281,"F.M. Kirby Foundation",937,"American Council of Trustees and Alumni",10000,,2012,,
104369,159542,22281,"F.M. Kirby Foundation",1333,"American Council on Science and Health",45000,,2012,,
104370,159543,22281,"F.M. Kirby Foundation",2471,"American Diabetes Association",85000,,2012,,
104371,159544,22281,"F.M. Kirby Foundation",29129,"American Enterprise Institute for Public Policy Research",40000,,2012,,
104372,159545,22281,"F.M. Kirby Foundation",22459,"American Federation for Aging Research",75000,,2012,,
104373,159546,22281,"F.M. Kirby Foundation",15458,"American Foundation for the Blind",27500,,2012,,
104374,159547,22281,"F.M. Kirby Foundation",22563,"American Heart Association - Founders Affiliate",125000,,2012,,
104375,159548,22281,"F.M. Kirby Foundation",5603,"American Museum of Natural History",20000,,2012,,
104376,159549,22281,"F.M. Kirby Foundation",947,"American Red Cross",637500,,2012,,
104377,159550,22281,"F.M. Kirby Foundation",1095,"America's Future Foundation",30000,,2012,,
104378,159551,22281,"F.M. Kirby Foundation",22289,"Appalachian Trail Conservancy",25000,,2012,,
104379,159552,22281,"F.M. Kirby Foundation",15165,"Arthritis Foundation",90000,,2012,,
104380,159553,22281,"F.M. Kirby Foundation",22291,"Arts Council of the Morris Area",40000,,2012,,
104381,159554,22281,"F.M. Kirby Foundation",3642,"Atlantic Legal Foundation",40000,,2012,,
104382,159555,22281,"F.M. Kirby Foundation",22485,"Bald Head Island Conservancy",45000,,2012,,
104383,159556,22281,"F.M. Kirby Foundation",22430,"Be The Match Foundation",100000,,2012,,
104384,159557,22281,"F.M. Kirby Foundation",829,"Bill of Rights Institute",27500,,2012,,
104385,159558,22281,"F.M. Kirby Foundation",21818,"Bonnie Brae",15000,,2012,,
104386,159559,22281,"F.M. Kirby Foundation",22294,"Boston Children's Hospital",325000,,2012,,
104387,159560,22281,"F.M. Kirby Foundation",19920,"Boy Scouts of America Patriots' Path Council",50000,,2012,,
104388,159561,22281,"F.M. Kirby Foundation",4180,"Boys &amp; Girls Clubs of America",10000,,2012,,
104389,159562,22281,"F.M. Kirby Foundation",22296,"Brandvwine Conservancy",10000,,2012,,
104390,159563,22281,"F.M. Kirby Foundation",22431,"Bruce Museum of Arts and Science",20000,,2012,,
104391,159564,22281,"F.M. Kirby Foundation",18544,"Cancer Hope Network",15000,,2012,,
104392,159565,22281,"F.M. Kirby Foundation",5924,"Cancer Research Institute",110000,,2012,,
104393,159566,22281,"F.M. Kirby Foundation",22299,"Caring House Inc.",12500,,2012,,
104394,159567,22281,"F.M. Kirby Foundation",13880,"Carolina Ballet Theatre",20000,,2012,,
104395,159568,22281,"F.M. Kirby Foundation",22300,"Carolina Theatre of Durham",30000,,2012,,
104396,159569,22281,"F.M. Kirby Foundation",22487,"CASA of Morris and Sussex Counties",25000,,2012,,
104397,159570,22281,"F.M. Kirby Foundation",887,"Cato Institute",35000,,2012,,
104398,159571,22281,"F.M. Kirby Foundation",22433,"Center for Child and Family Health (Durham NC)",75000,,2012,,
104399,159572,22281,"F.M. Kirby Foundation",833,"Center for Immigration Studies",20000,,2012,,
104400,159573,22281,"F.M. Kirby Foundation",22303,"Center for Individual Rights",135000,,2012,,
104401,159574,22281,"F.M. Kirby Foundation",1523,"Center for Security Policy",15000,,2012,,
104402,159575,22281,"F.M. Kirby Foundation",6997,"Central Park Conservancy",30000,,2012,,
104403,159576,22281,"F.M. Kirby Foundation",22565,"Cerebral Palsy International Research Foundation",25000,,2012,,
104404,159577,22281,"F.M. Kirby Foundation",22306,"Cheshire Home (Florham Park NJ)",26600,,2012,,
104405,159578,22281,"F.M. Kirby Foundation",22308,"Children's Aid and Family Services",7500,,2012,,
104406,159579,22281,"F.M. Kirby Foundation",7271,"Christopher and Dana Reeve Foundation",250000,,2012,,
104407,159580,22281,"F.M. Kirby Foundation",3644,"Clare Boothe Luce Policy Institute",20000,,2012,,
104408,159581,22281,"F.M. Kirby Foundation",13049,"Colby College",10000,,2012,,
104409,159582,22281,"F.M. Kirby Foundation",5147,"Cold Spring Harbor Laboratory",150000,,2012,,
104410,159583,22281,"F.M. Kirby Foundation",4519,"Common Sense Institute of New Jersey",10000,,2012,,
104411,159584,22281,"F.M. Kirby Foundation",21825,"Community Food Bank of New Jersey",50000,,2012,,
104412,159585,22281,"F.M. Kirby Foundation",4007,"Community Hope",25000,,2012,,
104413,159586,22281,"F.M. Kirby Foundation",22574,"Conservation Resources",15000,,2012,,
104414,159587,22281,"F.M. Kirby Foundation",12998,"Conservation Trust for North Carolina",15000,,2012,,
104415,159588,22281,"F.M. Kirby Foundation",8226,"Cooper-Hewitt National Design Museum",25000,,2012,,
104416,159589,22281,"F.M. Kirby Foundation",22557,"Corning Museum of Glass",12500,,2012,,
104417,159590,22281,"F.M. Kirby Foundation",21320,"Council of New Jersey Grantmakers",25000,,2012,,
104418,159591,22281,"F.M. Kirby Foundation",17909,"Covenant House New Jersey",55000,,2012,,
104419,159592,22281,"F.M. Kirby Foundation",1389,"Criminal Justice Legal Foundation",30000,,2012,,
104420,159593,22281,"F.M. Kirby Foundation",5103,"Crohn's &amp; Colitis Foundation of America",120000,,2012,,
104421,159594,22281,"F.M. Kirby Foundation",22497,"Dolgeville Central School (Dolgeville NY)",2000,,2012,,
104422,159595,22281,"F.M. Kirby Foundation",22558,"Dolgeville Violet Festival",3500,,2012,,
104423,159596,22281,"F.M. Kirby Foundation",22093,"Drew University",110000,,2012,,
104424,159597,22281,"F.M. Kirby Foundation",22465,"Durham Academy (Durham NC)",248333,,2012,,
104425,159598,22281,"F.M. Kirby Foundation",22311,"Durham Symphony",18500,,2012,,
104426,159599,22281,"F.M. Kirby Foundation",21044,"Employment Horizons",45000,,2012,,
104427,159600,22281,"F.M. Kirby Foundation",16877,EngenderHealth,85000,,2012,,
104428,159601,22281,"F.M. Kirby Foundation",22315,"English-Speaking Union of the United States",15000,,2012,,
104429,159602,22281,"F.M. Kirby Foundation",7280,"Environmental Defense Fund",100000,,2012,,
104430,159603,22281,"F.M. Kirby Foundation",22317,"Episcopal Preaching Foundation",22500,,2012,,
104431,159604,22281,"F.M. Kirby Foundation",22318,"F.M. Kirby Center for the Performing Arts",165000,,2012,,
104432,159605,22281,"F.M. Kirby Foundation",7282,"Fairfield University",17500,,2012,,
104433,159606,22281,"F.M. Kirby Foundation",22319,"Family Service Association of Northeastern Pennsylvania",12500,,2012,,
104434,159607,22281,"F.M. Kirby Foundation",22098,"Family Service of Morris County",90000,,2012,,
104435,159608,22281,"F.M. Kirby Foundation",842,"Federalist Society for Law and Public Policy Studies",40000,,2012,,
104436,159609,22281,"F.M. Kirby Foundation",3436,"Federation for American Immigration Reform",105000,,2012,,
104437,159610,22281,"F.M. Kirby Foundation",22321,"First Night Morris",7500,,2012,,
104438,159611,22281,"F.M. Kirby Foundation",3992,"Foundation Center",15000,,2012,,
104439,159612,22281,"F.M. Kirby Foundation",4655,"Foundation Fighting Blindness",80000,,2012,,
104440,159613,22281,"F.M. Kirby Foundation",1448,"Foundation for Individual Rights in Education",45000,,2012,,
104441,159614,22281,"F.M. Kirby Foundation",22581,"Foundation for Morristown Medical Center",200000,,2012,,
104442,159615,22281,"F.M. Kirby Foundation",845,"Freedom Alliance",30000,,2012,,
104443,159616,22281,"F.M. Kirby Foundation",22582,"Freedom House - New Jersey",10000,,2012,,
104444,159617,22281,"F.M. Kirby Foundation",848,"Fund for American Studies",30000,,2012,,
104445,159618,22281,"F.M. Kirby Foundation",22566,"Gettysburg Foundation",30000,,2012,,
104446,159619,22281,"F.M. Kirby Foundation",22559,"Gill St. Bernard's School",150000,,2012,,
104447,159620,22281,"F.M. Kirby Foundation",22567,"Girl Scouts of Northern New Jersey",50000,,2012,,
104448,159621,22281,"F.M. Kirby Foundation",17927,"Gladney Center for Adoption",40000,,2012,,
104449,159622,22281,"F.M. Kirby Foundation",17928,"Good Grief",15000,,2012,,
104450,159623,22281,"F.M. Kirby Foundation",22327,"Grace Counseling Center",20000,,2012,,
104451,159624,22281,"F.M. Kirby Foundation",22528,"Grace Episcopal Church (Madison NJ)",25000,,2012,,
104452,159625,22281,"F.M. Kirby Foundation",22103,"Great Swamp Watershed Association",17500,,2012,,
104453,159626,22281,"F.M. Kirby Foundation",22584,"Greater Morristown YMCA",35000,,2012,,
