id,post_id,donor_id,donor_name,recipient_id,recipient_name,contribution,services_rendered,year,candidate_id,candidate_name
138087,206366,8594,"John M. Olin Foundation",29263,"Foundation for Cultural Review",10000,,2013,,
138088,206367,8594,"John M. Olin Foundation",867,"Manhattan Institute for Policy Research",5000,,2013,,
117353,179470,8594,"John M. Olin Foundation",29263,"Foundation for Cultural Review",25000,,2012,,
117354,179471,8594,"John M. Olin Foundation",867,"Manhattan Institute for Policy Research",25000,,2012,,
31268,66165,8594,"John M. Olin Foundation",29263,"Foundation for Cultural Review",50000,,2011,,
31269,66166,8594,"John M. Olin Foundation",867,"Manhattan Institute for Policy Research",75000,,2011,,
31514,66900,8594,"John M. Olin Foundation",29263,"Foundation for Cultural Review",100000,,2010,,
31515,66901,8594,"John M. Olin Foundation",806,"George Mason University School of Law",50000,,2010,,
31516,66902,8594,"John M. Olin Foundation",4353,"Harvard University",100000,,2010,,
31517,66903,8594,"John M. Olin Foundation",867,"Manhattan Institute for Policy Research",175000,,2010,,
31518,66904,8594,"John M. Olin Foundation",4614,"National Affairs",75000,,2010,,
31736,67263,8594,"John M. Olin Foundation",842,"Federalist Society for Law and Public Policy Studies",75000,,2009,,
31737,67264,8594,"John M. Olin Foundation",29263,"Foundation for Cultural Review",100000,,2009,,
31738,67265,8594,"John M. Olin Foundation",849,"George Mason University",50000,,2009,,
31739,67266,8594,"John M. Olin Foundation",867,"Manhattan Institute for Policy Research",150000,,2009,,
31740,67267,8594,"John M. Olin Foundation",4614,"National Affairs",100000,,2009,,
31931,67649,8594,"John M. Olin Foundation",842,"Federalist Society for Law and Public Policy Studies",150000,,2008,,
31932,67650,8594,"John M. Olin Foundation",29263,"Foundation for Cultural Review",125000,,2008,,
31933,67651,8594,"John M. Olin Foundation",849,"George Mason University",50000,,2008,,
31934,67652,8594,"John M. Olin Foundation",4353,"Harvard University",550566,,2008,,
31935,67653,8594,"John M. Olin Foundation",867,"Manhattan Institute for Policy Research",150000,,2008,,
31936,67654,8594,"John M. Olin Foundation",1344,"National Association of Scholars",100000,,2008,,
31937,67655,8594,"John M. Olin Foundation",8967,"Stanford Law School",600000,,2008,,
31938,67656,8594,"John M. Olin Foundation",4634,"The Witherspoon Institute",200000,,2008,,
31939,67657,8594,"John M. Olin Foundation",3335,"University of Virginia",199000,,2008,,
31940,67658,8594,"John M. Olin Foundation",5010,"Yale University",514576,,2008,,
32172,68037,8594,"John M. Olin Foundation",29129,"American Enterprise Institute for Public Policy Research",250000,,2007,,
32173,68038,8594,"John M. Olin Foundation",842,"Federalist Society for Law and Public Policy Studies",241000,,2007,,
32174,68039,8594,"John M. Olin Foundation",4353,"Harvard University",3264434,,2007,,
32175,68040,8594,"John M. Olin Foundation",4381,"The University of Chicago Law School",600000,,2007,,
32176,68041,8594,"John M. Olin Foundation",4634,"The Witherspoon Institute",250000,,2007,,
32177,68042,8594,"John M. Olin Foundation",3335,"University of Virginia",199000,,2007,,
32178,68043,8594,"John M. Olin Foundation",5010,"Yale University",768896,,2007,,
32400,68391,8594,"John M. Olin Foundation",29129,"American Enterprise Institute for Public Policy Research",250000,,2006,,
32401,68392,8594,"John M. Olin Foundation",837,"Collegiate Network",150000,,2006,,
32402,68393,8594,"John M. Olin Foundation",842,"Federalist Society for Law and Public Policy Studies",401000,,2006,,
