id,post_id,donor_id,donor_name,recipient_id,recipient_name,contribution,services_rendered,year,candidate_id,candidate_name
129524,194792,12048,"Smith Richardson Foundation",12068,"Center for European Policy Analysis",125000,,2012,,
129523,194791,12048,"Smith Richardson Foundation",6715,"United States Military Academy",142571,,2012,,
129522,194790,12048,"Smith Richardson Foundation",1019,"Woodrow Wilson International Center for Scholars",150000,,2012,,
129521,194789,12048,"Smith Richardson Foundation",6762,"University of California San Diego",150000,,2012,,
129520,194788,12048,"Smith Richardson Foundation",12133,"The Dui Hua Foundation",150000,,2012,,
129519,194787,12048,"Smith Richardson Foundation",8967,"Stanford Law School",150000,,2012,,
129518,194786,12048,"Smith Richardson Foundation",22619,"Royal United Services Institute",150000,,2012,,
129517,194785,12048,"Smith Richardson Foundation",4074,"RAND Corporation",150000,,2012,,
129516,194784,12048,"Smith Richardson Foundation",12105,"Nonproliferation Policy Education Center",150000,,2012,,
129515,194783,12048,"Smith Richardson Foundation",863,"Lexington Institute",150000,,2012,,
129514,194782,12048,"Smith Richardson Foundation",1534,"Jamestown Foundation",150000,,2012,,
129513,194781,12048,"Smith Richardson Foundation",950,"Institute For Foreign Policy Analysis",150000,,2012,,
129512,194780,12048,"Smith Richardson Foundation",950,"Institute For Foreign Policy Analysis",150000,,2012,,
129511,194779,12048,"Smith Richardson Foundation",2931,"Indiana University",150000,,2012,,
129510,194778,12048,"Smith Richardson Foundation",4353,"Harvard University",150000,,2012,,
129509,194777,12048,"Smith Richardson Foundation",12088,"German Marshall Fund of the United States",150000,,2012,,
129508,194776,12048,"Smith Richardson Foundation",25562,"Electric Infrastructure Security Council",150000,,2012,,
129507,194775,12048,"Smith Richardson Foundation",6156,"Council on Foreign Relations",150000,,2012,,
129506,194774,12048,"Smith Richardson Foundation",12074,"China Vitae Inc.",150000,,2012,,
129505,194773,12048,"Smith Richardson Foundation",929,"Center for Strategic and International Studies",150000,,2012,,
129504,194772,12048,"Smith Richardson Foundation",929,"Center for Strategic and International Studies",150000,,2012,,
129503,194771,12048,"Smith Richardson Foundation",1143,"Center for a New American Security",150000,,2012,,
129502,194770,12048,"Smith Richardson Foundation",3324,"University of Michigan",151319,,2012,,
129501,194769,12048,"Smith Richardson Foundation",29129,"American Enterprise Institute for Public Policy Research",155100,,2012,,
129500,194768,12048,"Smith Richardson Foundation",12147,"Wisconsin Project on Nuclear Arms Control",165000,,2012,,
129499,194767,12048,"Smith Richardson Foundation",8620,"Freedom House",165000,,2012,,
129498,194766,12048,"Smith Richardson Foundation",4074,"RAND Corporation",175000,,2012,,
129497,194765,12048,"Smith Richardson Foundation",929,"Center for Strategic and International Studies",175000,,2012,,
129496,194764,12048,"Smith Richardson Foundation",4043,"Columbia University",180746,,2012,,
129495,194763,12048,"Smith Richardson Foundation",898,"Washington University in St. Louis",200000,,2012,,
129494,194762,12048,"Smith Richardson Foundation",4074,"RAND Corporation",200000,,2012,,
129493,194761,12048,"Smith Richardson Foundation",4074,"RAND Corporation",200000,,2012,,
129492,194760,12048,"Smith Richardson Foundation",12782,"Public Policy Institute of California",200000,,2012,,
129491,194759,12048,"Smith Richardson Foundation",10922,"Peter G. Peterson Institute for International Economics",200000,,2012,,
129490,194758,12048,"Smith Richardson Foundation",4532,"Institute for the Analysis of Global Security",200000,,2012,,
129489,194757,12048,"Smith Richardson Foundation",1463,"Hudson Institute",200000,,2012,,
129488,194756,12048,"Smith Richardson Foundation",7551,"Filmmakers Collaborative",200000,,2012,,
129476,194744,12048,"Smith Richardson Foundation",12088,"German Marshall Fund of the United States",250000,,2012,,
129475,194743,12048,"Smith Richardson Foundation",12070,"Center for Strategic and Budgetary Assessments",250000,,2012,,
129474,194742,12048,"Smith Richardson Foundation",1336,"Brookings Institution",250000,,2012,,
129473,194741,12048,"Smith Richardson Foundation",26369,ideas42,263296,,2012,,
129464,194732,12048,"Smith Richardson Foundation",5886,"Cystic Fibrosis Foundation",500000,,2012,,
129472,194740,12048,"Smith Richardson Foundation",6178,"National Bureau of Economic Research",268824,,2012,,
129471,194739,12048,"Smith Richardson Foundation",4604,"Institute for the Study of War",275000,,2012,,
129470,194738,12048,"Smith Richardson Foundation",4353,"Harvard University",298296,,2012,,
129469,194737,12048,"Smith Richardson Foundation",25210,"University System of Maryland",300000,,2012,,
129468,194736,12048,"Smith Richardson Foundation",1534,"Jamestown Foundation",300000,,2012,,
129465,194733,12048,"Smith Richardson Foundation",6642,"Urban Institute",500000,,2012,,
129466,194734,12048,"Smith Richardson Foundation",1004,"Stanford University",437637,,2012,,
129467,194735,12048,"Smith Richardson Foundation",1635,"Johns Hopkins University",419448,,2012,,
129481,194749,12048,"Smith Richardson Foundation",5010,"Yale University",213019,,2012,,
129480,194748,12048,"Smith Richardson Foundation",6178,"National Bureau of Economic Research",216156,,2012,,
129479,194747,12048,"Smith Richardson Foundation",12134,"The Institute for State Effectiveness",250000,,2012,,
129478,194746,12048,"Smith Richardson Foundation",12064,"Campaign Finance Institute",250000,,2012,,
129477,194745,12048,"Smith Richardson Foundation",4743,"Princeton University",250000,,2012,,
129487,194755,12048,"Smith Richardson Foundation",6156,"Council on Foreign Relations",200000,,2012,,
129486,194754,12048,"Smith Richardson Foundation",12077,"Committee for Human Rights in North Korea",200000,,2012,,
129482,194750,12048,"Smith Richardson Foundation",4074,"RAND Corporation",212264,,2012,,
129485,194753,12048,"Smith Richardson Foundation",1143,"Center for a New American Security",200000,,2012,,
129484,194752,12048,"Smith Richardson Foundation",1142,"Bipartisan Policy Center",200000,,2012,,
129483,194751,12048,"Smith Richardson Foundation",12052,"American Institutes for Research",200000,,2012,,
129525,194793,12048,"Smith Richardson Foundation",3248,"George Washington University",125000,,2012,,
129526,194794,12048,"Smith Richardson Foundation",12101,MDRC,125000,,2012,,
129527,194795,12048,"Smith Richardson Foundation",3771,"New America Foundation",125000,,2012,,
129528,194796,12048,"Smith Richardson Foundation",26370,"Marine Corps University Foundation",125000,,2012,,
129529,194797,12048,"Smith Richardson Foundation",1226,"Hoover Institution on War Revolution and Peace",120000,,2012,,
129530,194798,12048,"Smith Richardson Foundation",1463,"Hudson Institute",120000,,2012,,
129531,194799,12048,"Smith Richardson Foundation",929,"Center for Strategic and International Studies",115000,,2012,,
129532,194800,12048,"Smith Richardson Foundation",4353,"Harvard University",108532,,2012,,
129533,194801,12048,"Smith Richardson Foundation",3316,"University of Arkansas",107681,,2012,,
129534,194802,12048,"Smith Richardson Foundation",4008,"Cornell University",103522,,2012,,
129535,194803,12048,"Smith Richardson Foundation",4693,"America Abroad Media",100000,,2012,,
129536,194804,12048,"Smith Richardson Foundation",1336,"Brookings Institution",100000,,2012,,
129537,194805,12048,"Smith Richardson Foundation",1336,"Brookings Institution",100000,,2012,,
129538,194806,12048,"Smith Richardson Foundation",929,"Center for Strategic and International Studies",100000,,2012,,
129539,194807,12048,"Smith Richardson Foundation",26371,"Chicago Council on Global Affairs",100000,,2012,,
129540,194808,12048,"Smith Richardson Foundation",1091,"Free To Choose Network",100000,,2012,,
129541,194809,12048,"Smith Richardson Foundation",1463,"Hudson Institute",100000,,2012,,
129542,194810,12048,"Smith Richardson Foundation",1463,"Hudson Institute",100000,,2012,,
129543,194811,12048,"Smith Richardson Foundation",6175,"Middle East Institute",100000,,2012,,
129544,194812,12048,"Smith Richardson Foundation",6178,"National Bureau of Economic Research",100000,,2012,,
129545,194813,12048,"Smith Richardson Foundation",6177,"National Bureau of Asian Research",100000,,2012,,
129546,194814,12048,"Smith Richardson Foundation",26372,"NBI Foundation USA",100000,,2012,,
129547,194815,12048,"Smith Richardson Foundation",13054,"New York Law School",100000,,2012,,
129548,194816,12048,"Smith Richardson Foundation",1303,"Northwestern University",100000,,2012,,
129549,194817,12048,"Smith Richardson Foundation",6461,"University of Toronto",100000,,2012,,
129550,194818,12048,"Smith Richardson Foundation",802,"Claremont McKenna College",99895,,2012,,
129551,194819,12048,"Smith Richardson Foundation",12376,"Potomac Foundation",96250,,2012,,
129552,194820,12048,"Smith Richardson Foundation",929,"Center for Strategic and International Studies",80000,,2012,,
129553,194821,12048,"Smith Richardson Foundation",1534,"Jamestown Foundation",80000,,2012,,
129554,194822,12048,"Smith Richardson Foundation",12150,"World Organization for Resource Development and Education",80000,,2012,,
129555,194823,12048,"Smith Richardson Foundation",6388,"University of Virginia School of Law",79600,,2012,,
129556,194824,12048,"Smith Richardson Foundation",1463,"Hudson Institute",75000,,2012,,
129557,194825,12048,"Smith Richardson Foundation",1635,"Johns Hopkins University",75000,,2012,,
129558,194826,12048,"Smith Richardson Foundation",12124,"Small Wars Foundation",75000,,2012,,
129559,194827,12048,"Smith Richardson Foundation",3328,"University of North Carolina at Chapel Hill",75000,,2012,,
129560,194828,12048,"Smith Richardson Foundation",5341,"University of Southern California",71172,,2012,,
129561,194829,12048,"Smith Richardson Foundation",6178,"National Bureau of Economic Research",68393,,2012,,
129562,194830,12048,"Smith Richardson Foundation",1336,"Brookings Institution",65000,,2012,,
129563,194831,12048,"Smith Richardson Foundation",3335,"University of Virginia",63893,,2012,,
129564,194832,12048,"Smith Richardson Foundation",1597,"University of Pennsylvania",60955,,2012,,
129565,194833,12048,"Smith Richardson Foundation",25551,"American Friends of IDC",60000,,2012,,
129566,194834,12048,"Smith Richardson Foundation",12070,"Center for Strategic and Budgetary Assessments",60000,,2012,,
129567,194835,12048,"Smith Richardson Foundation",3243,"Duke University",60000,,2012,,
129568,194836,12048,"Smith Richardson Foundation",1463,"Hudson Institute",60000,,2012,,
129569,194837,12048,"Smith Richardson Foundation",5778,"Spirit of America",60000,,2012,,
129570,194838,12048,"Smith Richardson Foundation",3331,"University of San Diego",60000,,2012,,
129571,194839,12048,"Smith Richardson Foundation",4073,"University of Texas at Dallas",51485,,2012,,
