id,post_id,donor_id,donor_name,recipient_id,recipient_name,contribution,services_rendered,year,candidate_id,candidate_name
187554,258998,1937,"The Lynde and Harry Bradley Foundation",13744,"Above the Clouds Inc.",10000,,2013,,
187556,259000,1937,"The Lynde and Harry Bradley Foundation",31651,"Accelerate Institute",75000,,2013,,
187558,259002,1937,"The Lynde and Harry Bradley Foundation",29150,"Acton Institute for the Study of Religion and Liberty",100000,,2013,,
187560,259004,1937,"The Lynde and Harry Bradley Foundation",28684,"Actright Legal Foundation",87500,,2013,,
187562,259006,1937,"The Lynde and Harry Bradley Foundation",28684,"Actright Legal Foundation",87500,,2013,,
187564,259008,1937,"The Lynde and Harry Bradley Foundation",8681,"Alexander Hamilton Society",50000,,2013,,
187566,259010,1937,"The Lynde and Harry Bradley Foundation",12174,"Alliance for Children and Families",1000,,2013,,
187568,259012,1937,"The Lynde and Harry Bradley Foundation",29158,"Alliance for School Choice",20000,,2013,,
187570,259014,1937,"The Lynde and Harry Bradley Foundation",31652,"AltVentures media",50000,,2013,,
187572,259016,1937,"The Lynde and Harry Bradley Foundation",15864,"Alverno College",100000,,2013,,
187574,259018,1937,"The Lynde and Harry Bradley Foundation",4509,"American Civil Rights Institute",175000,,2013,,
187576,259020,1937,"The Lynde and Harry Bradley Foundation",937,"American Council of Trustees and Alumni",30000,,2013,,
187578,259022,1937,"The Lynde and Harry Bradley Foundation",29129,"American Enterprise Institute for Public Policy Research",100000,,2013,,
187580,259024,1937,"The Lynde and Harry Bradley Foundation",29129,"American Enterprise Institute for Public Policy Research",100000,,2013,,
187582,259026,1937,"The Lynde and Harry Bradley Foundation",29129,"American Enterprise Institute for Public Policy Research",100000,,2013,,
187584,259028,1937,"The Lynde and Harry Bradley Foundation",29129,"American Enterprise Institute for Public Policy Research",40000,,2013,,
187586,259030,1937,"The Lynde and Harry Bradley Foundation",29129,"American Enterprise Institute for Public Policy Research",90000,,2013,,
187588,259032,1937,"The Lynde and Harry Bradley Foundation",4642,"American Foreign Policy Council",80000,,2013,,
187590,259034,1937,"The Lynde and Harry Bradley Foundation",29155,"American Islamic Congress",25000,,2013,,
187592,259036,1937,"The Lynde and Harry Bradley Foundation",29130,"American Legislative Exchange Council",70000,,2013,,
187594,259038,1937,"The Lynde and Harry Bradley Foundation",4467,"American Majority",77500,,2013,,
187596,259040,1937,"The Lynde and Harry Bradley Foundation",4467,"American Majority",77500,,2013,,
187598,259042,1937,"The Lynde and Harry Bradley Foundation",4467,"American Majority",87500,,2013,,
187600,259044,1937,"The Lynde and Harry Bradley Foundation",29131,"Americans for Prosperity Foundation",100000,,2013,,
187602,259046,1937,"The Lynde and Harry Bradley Foundation",29131,"Americans for Prosperity Foundation",20000,,2013,,
187604,259048,1937,"The Lynde and Harry Bradley Foundation",29261,"Americans for Tax Reform Foundation",50000,,2013,,
187606,259050,1937,"The Lynde and Harry Bradley Foundation",29261,"Americans for Tax Reform Foundation",50000,,2013,,
187608,259052,1937,"The Lynde and Harry Bradley Foundation",1095,"America's Future Foundation",10000,,2013,,
187610,259054,1937,"The Lynde and Harry Bradley Foundation",31654,"Archdiocese of Milwaukee",10000,,2013,,
187612,259056,1937,"The Lynde and Harry Bradley Foundation",13473,"Asset Builders of America; Inc.",35000,,2013,,
187614,259058,1937,"The Lynde and Harry Bradley Foundation",13474,"Association for the Study of the Middle East and Africa",30000,,2013,,
187616,259060,1937,"The Lynde and Harry Bradley Foundation",3784,"Association of American Educators",162500,,2013,,
187618,259062,1937,"The Lynde and Harry Bradley Foundation",3784,"Association of American Educators",162500,,2013,,
187620,259064,1937,"The Lynde and Harry Bradley Foundation",9232,"Association of Graduates of the United States Military Academy",100000,,2013,,
187622,259066,1937,"The Lynde and Harry Bradley Foundation",29030,"Austin Institute for the Study of Family and Culture",50000,,2013,,
187624,259068,1937,"The Lynde and Harry Bradley Foundation",29040,"Bradley Impact Fund",25000,,2013,,
187626,259070,1937,"The Lynde and Harry Bradley Foundation",29040,"Bradley Impact Fund",20000,,2013,,
187628,259072,1937,"The Lynde and Harry Bradley Foundation",29040,"Bradley Impact Fund",5000,,2013,,
187630,259074,1937,"The Lynde and Harry Bradley Foundation",29040,"Bradley Impact Fund",25000,,2013,,
187632,259076,1937,"The Lynde and Harry Bradley Foundation",29040,"Bradley Impact Fund",25000,,2013,,
187634,259078,1937,"The Lynde and Harry Bradley Foundation",29040,"Bradley Impact Fund",25000,,2013,,
187636,259080,1937,"The Lynde and Harry Bradley Foundation",29040,"Bradley Impact Fund",45000,,2013,,
187638,259082,1937,"The Lynde and Harry Bradley Foundation",31655,"Barry Goldwater Institute for Public Policy Research",25000,,2013,,
187640,259084,1937,"The Lynde and Harry Bradley Foundation",3704,"Baylor University",12500,,2013,,
187643,259087,1937,"The Lynde and Harry Bradley Foundation",3704,"Baylor University",12500,,2013,,
187645,259089,1937,"The Lynde and Harry Bradley Foundation",13475,"Beckum-Stapleton Little League",10000,,2013,,
187647,259091,1937,"The Lynde and Harry Bradley Foundation",13476,"Bel Canto Chorus of Milwaukee",20000,,2013,,
187649,259093,1937,"The Lynde and Harry Bradley Foundation",25235,"Beyond Vision",50000,,2013,,
187651,259095,1937,"The Lynde and Harry Bradley Foundation",25235,"Beyond Vision",15000,,2013,,
187653,259097,1937,"The Lynde and Harry Bradley Foundation",5262,"Black Alliance for Educational Options",80000,,2013,,
187655,259099,1937,"The Lynde and Harry Bradley Foundation",13477,"Black Alliance for Educational Options - Milwaukee Chapter",25000,,2013,,
187657,259101,1937,"The Lynde and Harry Bradley Foundation",4511,"Boston College",12500,,2013,,
187659,259103,1937,"The Lynde and Harry Bradley Foundation",4511,"Boston College",12500,,2013,,
187661,259105,1937,"The Lynde and Harry Bradley Foundation",6073,"Boston University",30000,,2013,,
187663,259107,1937,"The Lynde and Harry Bradley Foundation",6073,"Boston University",30000,,2013,,
187665,259109,1937,"The Lynde and Harry Bradley Foundation",6073,"Boston University",10000,,2013,,
187667,259111,1937,"The Lynde and Harry Bradley Foundation",31656,"Bradley Prize Recipient",250000,,2013,,
187669,259113,1937,"The Lynde and Harry Bradley Foundation",31656,"Bradley Prize Recipient",250000,,2013,,
187671,259115,1937,"The Lynde and Harry Bradley Foundation",31656,"Bradley Prize Recipient",250000,,2013,,
187673,259117,1937,"The Lynde and Harry Bradley Foundation",13754,"Burleigh Street Community Development Corporation",15000,,2013,,
187675,259119,1937,"The Lynde and Harry Bradley Foundation",13755,"Business and Economics Academy of Milwaukee",10000,,2013,,
187677,259121,1937,"The Lynde and Harry Bradley Foundation",13482,"California Dance Institute",10000,,2013,,
187679,259123,1937,"The Lynde and Harry Bradley Foundation",13482,"California Dance Institute",5000,,2013,,
187681,259125,1937,"The Lynde and Harry Bradley Foundation",832,"Capital Research Center",40000,,2013,,
187683,259127,1937,"The Lynde and Harry Bradley Foundation",832,"Capital Research Center",75000,,2013,,
187685,259129,1937,"The Lynde and Harry Bradley Foundation",13483,"Captain Frederick Pabst Mansion Inc.",20000,,2013,,
187687,259131,1937,"The Lynde and Harry Bradley Foundation",13487,"Catholic Memorial High School",1000,,2013,,
187689,259133,1937,"The Lynde and Harry Bradley Foundation",5100,"Center for America",100000,,2013,,
187691,259135,1937,"The Lynde and Harry Bradley Foundation",5100,"Center for America",100000,,2013,,
187693,259137,1937,"The Lynde and Harry Bradley Foundation",3643,"Center for Competitive Politics",75000,,2013,,
187695,259139,1937,"The Lynde and Harry Bradley Foundation",29751,"Center for Consumer Freedom",100000,,2013,,
187697,259141,1937,"The Lynde and Harry Bradley Foundation",29751,"Center for Consumer Freedom",150000,,2013,,
187699,259143,1937,"The Lynde and Harry Bradley Foundation",3166,"Center for Education Reform",50000,,2013,,
187701,259145,1937,"The Lynde and Harry Bradley Foundation",928,"Center for Equal Opportunity",110000,,2013,,
187703,259147,1937,"The Lynde and Harry Bradley Foundation",928,"Center for Equal Opportunity",55000,,2013,,
187705,259149,1937,"The Lynde and Harry Bradley Foundation",833,"Center for Immigration Studies",15000,,2013,,
187707,259151,1937,"The Lynde and Harry Bradley Foundation",1628,"Center for Neighborhood Enterprise",275000,,2013,,
187709,259153,1937,"The Lynde and Harry Bradley Foundation",1628,"Center for Neighborhood Enterprise",95000,,2013,,
187710,259154,1937,"The Lynde and Harry Bradley Foundation",1628,"Center for Neighborhood Enterprise",95000,,2013,,
187712,259156,1937,"The Lynde and Harry Bradley Foundation",1628,"Center for Neighborhood Enterprise",500,,2013,,
