id,post_id,donor_id,donor_name,recipient_id,recipient_name,contribution,services_rendered,year,candidate_id,candidate_name
188933,260377,1938,"Walton Family Foundation",31742,"4.0 Schools",646467,,2012,,
188934,260378,1938,"Walton Family Foundation",31743,"50CAN Inc",1650000,,2012,,
188935,260379,1938,"Walton Family Foundation",31744,"Academy 360",250000,,2012,,
188936,260380,1938,"Walton Family Foundation",17024,"Academy for Global Citizenship Charter School",250000,,2012,,
188937,260381,1938,"Walton Family Foundation",17024,"Academy for Global Citizenship Charter School",30000,,2012,,
188938,260382,1938,"Walton Family Foundation",31745,"Accelerate Arkansas",75000,,2012,,
188939,260383,1938,"Walton Family Foundation",31746,"ACE Charter High School",250000,,2012,,
188940,260384,1938,"Walton Family Foundation",17027,"Achievement Network LTD",62500,,2012,,
188941,260385,1938,"Walton Family Foundation",17030,"African Parks Foundation of America",500000,,2012,,
188942,260386,1938,"Walton Family Foundation",17031,"Ag Technology and Environmental Stewardship Foundation Inc",75000,,2012,,
188943,260387,1938,"Walton Family Foundation",17032,"Agricultural Watershed Institute",46211,,2012,,
188944,260388,1938,"Walton Family Foundation",18637,"Agudath Israel of America Inc.",500000,,2012,,
188945,260389,1938,"Walton Family Foundation",31748,"Alliance for School Choice Inc.",1700000,,2012,,
188946,260390,1938,"Walton Family Foundation",17035,"Alliance for Water Efficiency",35000,,2012,,
188947,260391,1938,"Walton Family Foundation",31749,"Amandla Charter School",250000,,2012,,
188948,260392,1938,"Walton Family Foundation",12340,"American Bird Conservancy",50787,,2012,,
188949,260393,1938,"Walton Family Foundation",13746,"American Center for School Choice",125000,,2012,,
188950,260394,1938,"Walton Family Foundation",29129,"American Enterprise Institute for Public Policy Research",182103,,2012,,
188951,260395,1938,"Walton Family Foundation",29129,"American Enterprise Institute for Public Policy Research",40000,,2012,,
188952,260396,1938,"Walton Family Foundation",3996,"American Farmland Trust",395980,,2012,,
188953,260397,1938,"Walton Family Foundation",9058,"American Heart Association Phoenix",15000,,2012,,
188954,260398,1938,"Walton Family Foundation",17040,"American Quarter Horse Foundation",50000,,2012,,
188955,260399,1938,"Walton Family Foundation",3432,"American Rivers Inc.",262400,,2012,,
188956,260400,1938,"Walton Family Foundation",3432,"American Rivers Inc.",52026,,2012,,
188957,260401,1938,"Walton Family Foundation",17042,"American Whitewater",109145,,2012,,
188958,260402,1938,"Walton Family Foundation",29131,"Americans for Prosperity Foundation",325000,,2012,,
188959,260403,1938,"Walton Family Foundation",31752,"America's Charter School",10000,,2012,,
188960,260404,1938,"Walton Family Foundation",17043,"Amon Carter Museum of Western Art",589800,,2012,,
188961,260405,1938,"Walton Family Foundation",17045,"AOPA Foundation Aircraft Owners and Pilot Association",15000,,2012,,
188962,260406,1938,"Walton Family Foundation",31754,"Apple Academy Charter Public Schools",250000,,2012,,
188963,260407,1938,"Walton Family Foundation",31755,"ARC4H Academy ",250000,,2012,,
188964,260408,1938,"Walton Family Foundation",17049,"Area Agency on Aging of Northwest Arkansas Foundation",15000,,2012,,
188965,260409,1938,"Walton Family Foundation",31756,"Arizona Autism Charter Schools Inc.",30000,,2012,,
188966,260410,1938,"Walton Family Foundation",14269,"Arizona Charter Schools Association",586475,,2012,,
188967,260411,1938,"Walton Family Foundation",14269,"Arizona Charter Schools Association",150000,,2012,,
188968,260412,1938,"Walton Family Foundation",5694,"Arizona Community Foundation",306164,,2012,,
188969,260413,1938,"Walton Family Foundation",27744,"Arizona Land and Water Trust Inc.",221224,,2012,,
188970,260414,1938,"Walton Family Foundation",27648,"Arizona School Choice Administration Corporation",100000,,2012,,
188971,260415,1938,"Walton Family Foundation",17053,"Arizona Science Center",335000,,2012,,
188972,260416,1938,"Walton Family Foundation",17054,"Arizona State Parks Foundation",129187,,2012,,
188973,260417,1938,"Walton Family Foundation",17055,"Arkansans for Education Reform Foundation",2073750,,2012,,
188974,260418,1938,"Walton Family Foundation",17055,"Arkansans for Education Reform Foundation",15000,,2012,,
188975,260419,1938,"Walton Family Foundation",17057,"Arkansas Aims - Arkansas Advanced Initiative for Math and Science Inc",1124409,,2012,,
188976,260420,1938,"Walton Family Foundation",17058,"Arkansas Arts Center Foundation",105000,,2012,,
188977,260421,1938,"Walton Family Foundation",17059,"Arkansas Athletes Outreach",10000,,2012,,
188978,260422,1938,"Walton Family Foundation",31760,"Arkansas Children's Hospital",15000,,2012,,
188979,260423,1938,"Walton Family Foundation",17062,"Arkansas Children's Hospital Foundation",10000,,2012,,
188980,260424,1938,"Walton Family Foundation",17064,"Arkansas Community Foundation",40000,,2012,,
188981,260425,1938,"Walton Family Foundation",17065,"Arkansas Department of Education",398000,,2012,,
188982,260426,1938,"Walton Family Foundation",31762,"Arkansas Education Total",9317757,,2012,,
188983,260427,1938,"Walton Family Foundation",31763,"Arkansas Independent Colleges &amp; Universities - Independent College Fund of Arkansas",12000,,2012,,
188984,260428,1938,"Walton Family Foundation",3863,"Arkansas Policy Foundation",10000,,2012,,
188985,260429,1938,"Walton Family Foundation",17074,"Arkansas Public School Resource Center",987933,,2012,,
188986,260430,1938,"Walton Family Foundation",31764,"Arkansas Sports Hall of Fame Inc.",10000,,2012,,
188987,260431,1938,"Walton Family Foundation",31765,"Arkansas State Council on Economic Education (Economics Arkansas)",16179,,2012,,
