id,post_id,donor_id,donor_name,recipient_id,recipient_name,contribution,services_rendered,year,candidate_id,candidate_name
134201,199588,16947,"William E. Simon Foundation",9404,"Morristown Memorial Health Foundation",460728,,2012,,
134202,199589,16947,"William E. Simon Foundation",7203,"Civic Builders",433333,,2012,,
134203,199590,16947,"William E. Simon Foundation",29151,"Philanthropy Roundtable",370000,,2012,,
134204,199591,16947,"William E. Simon Foundation",8968,"Charter School Growth Fund",350000,,2012,,
134205,199592,16947,"William E. Simon Foundation",4511,"Boston College",333333,,2012,,
134206,199593,16947,"William E. Simon Foundation",1219,"University of Rochester",333333,,2012,,
134207,199594,16947,"William E. Simon Foundation",867,"Manhattan Institute for Policy Research",300000,,2012,,
134208,199595,16947,"William E. Simon Foundation",4634,"The Witherspoon Institute",300000,,2012,,
134209,199596,16947,"William E. Simon Foundation",8968,"Charter School Growth Fund",250000,,2012,,
134210,199597,16947,"William E. Simon Foundation",1226,"Hoover Institution on War Revolution and Peace",250000,,2012,,
134211,199598,16947,"William E. Simon Foundation",18025,"Success Academy Charter Schools",250000,,2012,,
134212,199599,16947,"William E. Simon Foundation",1578,"Ethics and Public Policy Center",180000,,2012,,
134213,199600,16947,"William E. Simon Foundation",17877,"Alliance for College-Ready Public Schools",150000,,2012,,
134214,199601,16947,"William E. Simon Foundation",29243,DonorsTrust,150000,,2012,,
134215,199602,16947,"William E. Simon Foundation",3683,"Pepperdine University",150000,,2012,,
134216,199603,16947,"William E. Simon Foundation",25241,"Foundation for Opportunity in Education",150000,,2012,,
134217,199604,16947,"William E. Simon Foundation",18019,"Sound Body Sound Mind",150000,,2012,,
134218,199605,16947,"William E. Simon Foundation",4743,"Princeton University",135000,,2012,,
134219,199606,16947,"William E. Simon Foundation",4880,"Association of American Educators Foundation",125000,,2012,,
134220,199607,16947,"William E. Simon Foundation",857,"Intercollegiate Studies Institute",125000,,2012,,
134221,199608,16947,"William E. Simon Foundation",4515,"Children's Scholarship Fund",102872,,2012,,
134222,199609,16947,"William E. Simon Foundation",29150,"Acton Institute for the Study of Religion and Liberty",100000,,2012,,
134223,199610,16947,"William E. Simon Foundation",29158,"Alliance for School Choice",100000,,2012,,
134224,199611,16947,"William E. Simon Foundation",17884,"Big Brothers Big Sisters of New York City",100000,,2012,,
134225,199612,16947,"William E. Simon Foundation",3390,"Bucknell University",100000,,2012,,
134226,199613,16947,"William E. Simon Foundation",3390,"Bucknell University",100000,,2012,,
134227,199614,16947,"William E. Simon Foundation",17909,"Covenant House New Jersey",100000,,2012,,
134228,199615,16947,"William E. Simon Foundation",842,"Federalist Society for Law and Public Policy Studies",100000,,2012,,
134229,199616,16947,"William E. Simon Foundation",17933,"Hamilton College (New York)",100000,,2012,,
134230,199617,16947,"William E. Simon Foundation",17933,"Hamilton College (New York)",100000,,2012,,
134231,199618,16947,"William E. Simon Foundation",16998,"KIPP New York Inc.",100000,,2012,,
134232,199619,16947,"William E. Simon Foundation",5733,"Student Sponsor Partners",100000,,2012,,
